Site,Depth (m),Day,Chlorophyll-a Fluorescence (RFU),FDOM Fluorescence (RFU) ,Turbidity (NTU),Actual Conductivity  (uS/cm),Specific Conductivity(uS/cm),Salinity(PSU),Resistivity(ohm*cm),Density(g/cm^3),Total Dissolved Solids (ppt),BGA-PC Fluorescence(RFU),Temperature(C),Barometric Pressure(mm Hg),Pressure (psi),Depth(m),Nitrate(NO3-r -N),Nitrate(mV),External Voltage(V),Latitude,Longitude,BGA-PC (ug/L),Chl_a (ug/L),BGA-PC/ Chl-a,bloomstatus Chl-a,bloomstatus BGA-PC,bloomstatus BGA-PC/Chl-a
LP12,0.5,29-Apr,0,0,1.2236,0,0,0.00E+00,10000000,0.9959,0,0.9569,29.03,766.49,0.43,0.4808,0,0,15.3107,30.21863068,-90.12997675,50.67455576,0,0,0,0,0
LP12,0.5,29-Apr,0.000004,0,1.2563,0,0,0.00E+00,10000000,0.9959,0,0.9991,29.05,766.5,0.4466,0.4865,0,0,15.3616,30.21865706,-90.12994078,52.7090636,0.002482353,21233.50853,0,0,1
LP12,0.5,29-Apr,0.000026,0,1.2513,0,0,0.00E+00,10000000,0.9959,0,0.9932,29.05,766.5,0.4604,0.493,0,0,15.3607,30.21865951,-90.12993311,52.42608869,0.015294118,3427.859566,0,0,1
LP12,0.5,29-Apr,0.000661,0,1.2228,0,0,1.00E-10,10000000,0.9959,0,0.9695,29.05,766.55,0.4634,0.5041,0,0,15.3526,,,51.28809927,0.388638235,131.9687428,0,0,0
LP12,0.5,29-Apr,0.000054,0,1.1892,0,0,0.00E+00,10000000,0.9959,0,0.9279,29.06,766.5,0.6085,0.5128,0,0,15.3456,30.21866362,-90.12992729,49.25001235,0.031647059,1556.227147,0,0,1
LP12,0.5,29-Apr,0.000144,0,1.1882,0,0,0.00E+00,10000000,0.9959,0,0.9301,29.06,766.51,0.614,0.5249,0,0,15.3464,30.21866738,-90.12992077,49.35939029,0.084625294,583.2699416,0,0,1
LP6,0.5,13-Aug,0.000933,0.003,1.877,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0101,30.74,762.42,0.3873,0.4771,50000,-213.2271,15.3799,30.06852693,-90.38211743,53.23352603,0.548955824,96.97233129,0,0,0
LP6,0.5,13-Aug,0.001004,0.003,1.8752,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.011,30.74,762.41,0.3922,0.4807,50000,-213.2006,15.3791,30.06852335,-90.38212129,53.2748403,0.590407412,90.23403029,0,0,0
LP6,0.5,13-Aug,0.002,0.004,1.8345,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,0.9674,30.71,762.57,0.5375,0.484,50000,-210.3324,15.3634,30.06853034,-90.38218348,51.18233861,1.176724412,43.49560363,1,0,0
LP6,0.5,13-Aug,0.000071,0.004,1.9396,0.055,0.05,0.00E+00,18200000,0.9954,3.22E-05,1.0249,30.71,762.39,0.4014,0.4884,50000,-214.3336,15.3708,30.06868117,-90.38251921,53.93259649,0.041871812,1288.040663,0,0,1
